size	K	T	instance	Obj value	CPLEX time (s)	Optimal path
6	6	30	0	156.0	1.3853108	1 7 13 19 20 26 27 33 34 35 36 
6	6	30	1	147.0	1.2485661	1 7 8 14 15 16 17 23 24 30 36 
6	6	30	2	144.0	1.3042856	1 7 13 14 20 21 22 28 29 30 36 
6	6	30	3	155.0	1.3125515	1 7 8 9 10 16 17 23 29 30 36 
6	6	30	4	152.0	1.3277091	1 2 3 4 5 11 17 18 24 30 36 
6	6	30	5	153.0	1.0693683	1 2 3 9 15 21 22 23 29 35 36 
6	6	30	6	151.00000000000006	0.7929859	1 2 8 14 15 21 27 33 34 35 36 
6	6	30	7	158.0	2.9024904	1 2 8 14 20 21 22 28 29 30 36 
6	6	30	8	151.0	0.7911122	1 7 8 9 15 16 22 28 34 35 36 
6	6	30	9	148.0	1.0822226	1 7 13 19 20 21 22 23 29 35 36 
6	6	60	0	309.0	7.4575956	1 7 13 19 20 21 22 23 29 30 36 
6	6	60	1	289.0	3.0440157	1 2 3 4 5 11 12 18 24 30 36 
6	6	60	2	277.0	2.753993	1 7 8 14 15 21 27 28 29 30 36 
6	6	60	3	303.0	4.4529642	1 2 3 4 10 16 22 28 29 35 36 
6	6	60	4	300.0	7.3814979	1 2 8 9 15 16 22 28 34 35 36 
6	6	60	5	290.0	5.3282896	1 7 8 9 15 16 17 23 29 35 36 
6	6	60	6	305.0	6.2022191	1 2 8 9 10 16 22 23 24 30 36 
6	6	60	7	291.0	3.4774712	1 7 13 14 20 26 27 28 34 35 36 
6	6	60	8	302.0	4.7177143	1 7 8 9 15 21 22 28 29 35 36 
6	6	60	9	292.0	3.3918018	1 2 3 9 10 16 22 28 29 30 36 
6	6	90	0	446.0	9.1971301	1 7 13 19 25 31 32 33 34 35 36 
6	6	90	1	443.00000000000006	9.1300631	1 2 8 14 15 16 22 28 34 35 36 
6	6	90	2	421.0	4.7277166	1 7 8 9 10 16 22 28 29 35 36 
6	6	90	3	397.99999999999903	2.0082469	1 7 8 9 10 11 17 23 24 30 36 
6	6	90	4	404.0	2.8351872	1 2 8 9 10 16 22 28 29 30 36 
6	6	90	5	429.0	4.2652205	1 7 13 19 20 21 27 33 34 35 36 
6	6	90	6	464.0	10.282024	1 7 13 19 20 26 27 28 34 35 36 
6	6	90	7	452.0	12.1927974	1 2 8 14 20 26 27 28 29 30 36 
6	6	90	8	440.0	5.0707498	1 7 13 19 25 31 32 33 34 35 36 
6	6	90	9	429.99999999999795	10.0813971	1 7 8 9 10 16 22 23 29 30 36 
7	2	30	0	47.0	0.1227265	1 2 9 16 23 24 25 32 39 40 41 48 49 
7	2	30	1	50.0	0.059771	1 8 15 16 23 30 37 38 39 46 47 48 49 
7	2	30	2	44.0	0.1452174	1 8 15 16 17 24 31 38 39 40 47 48 49 
7	2	30	3	47.0	0.1570237	1 8 9 10 11 12 19 26 33 40 41 42 49 
7	2	30	4	50.0	0.1203834	1 8 15 16 23 30 31 32 33 34 41 42 49 
7	2	30	5	45.0	0.1486	1 8 9 16 17 18 19 26 27 34 35 42 49 
7	2	30	6	44.0	0.1409856	1 8 9 16 23 30 37 38 39 40 41 42 49 
7	2	30	7	47.0	0.1118846	1 8 9 16 17 18 25 32 33 40 47 48 49 
7	2	30	8	50.0	0.1236673	1 2 3 4 11 12 19 26 33 40 41 42 49 
7	2	30	9	48.0	0.1166935	1 8 15 22 23 30 31 32 39 40 41 42 49 
7	2	60	0	87.0	0.28022	1 2 3 10 17 18 25 26 27 34 35 42 49 
7	2	60	1	92.0	0.2222162	1 2 3 4 5 6 13 20 27 34 41 48 49 
7	2	60	2	84.0	0.2584951	1 2 9 16 23 24 25 32 33 34 41 42 49 
7	2	60	3	89.0	0.2217186	1 2 3 4 11 18 19 20 27 34 41 48 49 
7	2	60	4	92.0	0.493339	1 2 3 10 11 18 19 26 27 34 35 42 49 
7	2	60	5	91.0	0.2113509	1 2 9 16 23 24 25 32 39 40 47 48 49 
7	2	60	6	85.0	0.1387228	1 2 3 4 5 12 19 26 27 34 41 48 49 
7	2	60	7	89.0	0.2185543	1 2 9 10 11 18 19 26 33 34 41 48 49 
7	2	60	8	79.0	0.2013472	1 2 9 16 23 30 31 32 33 40 41 42 49 
7	2	60	9	83.0	0.2250999	1 2 3 4 5 12 19 26 33 40 41 48 49 
7	2	90	0	127.0	0.4295284	1 2 3 10 11 12 19 20 27 34 41 48 49 
7	2	90	1	127.0	0.5668585	1 2 3 10 11 12 19 26 27 34 35 42 49 
7	2	90	2	140.0	0.6272925	1 8 9 10 17 24 31 32 33 34 41 42 49 
7	2	90	3	132.0	0.4139088	1 8 9 16 23 24 25 26 33 40 41 42 49 
7	2	90	4	119.0	0.4357477	1 2 3 10 11 12 19 20 27 28 35 42 49 
7	2	90	5	127.0	0.4643057	1 2 3 10 17 24 25 26 27 28 35 42 49 
